t_s,i,adc
3.181612099999999,2874,388
3.182746699999999,2875,388
3.1836462999999995,2876,389
3.184665599999999,2877,388
3.1856761999999996,2878,387
3.1875242999999998,2879,388
3.1885984999999994,2880,388
3.1896182,2881,388
3.190628199999999,2882,388
3.1916469999999997,2883,388
3.192665,2884,389
3.193674399999999,2885,387
3.1955704999999988,2886,389
3.1966149,2887,387
3.1976198,2888,388
3.1986280999999988,2889,388
3.1996478999999987,2890,388
3.2006651999999995,2891,388
3.2016732999999995,2892,387
3.203571799999999,2893,388
3.2045997999999987,2894,388
3.2056202999999996,2895,386
3.207590399999999,2896,386
3.2077387,2897,387
3.2086647,2898,388
3.2097394,2899,387
3.2115831000000004,2900,388
3.2125915000000003,2901,389
3.2136134,2902,388
3.214630399999999,2903,388
3.2156377000000003,2904,389
3.216680799999999,2905,389
3.2177001,2906,389
3.2195875999999988,2907,390
3.2206387000000003,2908,386
3.2216255,2909,388
3.2227829000000003,2910,388
3.223677199999999,2911,388
3.224670999999999,2912,387
3.2256865,2913,388
3.2275755000000004,2914,386
3.2285819,2915,388
3.229602399999999,2916,387
3.2306437999999993,2917,387
3.231647299999999,2918,388
3.2326645000000003,2919,388
3.2336852,2920,387
3.2355574999999988,2921,389
3.2366174999999995,2922,389
3.2376050000000003,2923,387
3.238645199999999,2924,386
3.2396472999999997,2925,388
3.2406648999999987,2926,388
3.2416843999999987,2927,388
3.2435758000000003,2928,386
3.2445813,2929,388
3.245603299999999,2930,388
3.2466448000000003,2931,386
3.247653699999999,2932,387
3.248672899999999,2933,388
3.2497996999999987,2934,389
3.2515424999999993,2935,389
3.252604099999999,2936,389
3.2536120000000004,2937,387
3.2546298999999994,2938,388
3.2556399000000003,2939,388
3.2566841999999987,2940,387
3.257702799999999,2941,388
3.2595758000000004,2942,386
3.2605939999999993,2943,387
3.261604,2944,388
3.2628035000000004,2945,388
3.2636643999999997,2946,386
3.264665899999999,2947,387
3.2657109999999996,2948,388
3.267556899999999,2949,388
3.2685966000000004,2950,388
3.2696030999999994,2951,388
3.2706441999999996,2952,388
3.271659399999999,2953,389
3.2726653,2954,389
3.2736856999999997,2955,389
3.2756004999999995,2956,387
3.2766503,2957,389
3.2776066999999998,2958,388
3.2786446,2959,388
3.2796599000000004,2960,386
3.280664099999999,2961,387
3.281707599999999,2962,388
3.2835476999999997,2963,387
3.2846116999999992,2964,388
3.2856192999999987,2965,386
3.2866380999999993,2966,386
3.287659699999999,2967,387
3.2886638999999995,2968,388
3.2905575999999996,2969,388
3.2915691999999996,2970,386
3.29261,2971,387
3.2936125,2972,388
3.294628399999999,2973,386
3.295650499999999,2974,388
3.296679299999999,2975,388
3.2985619999999987,2976,387
3.2995539999999988,2977,386
3.3006022999999995,2978,387
3.301617199999999,2979,388
3.3027134999999994,2980,388
3.3036882999999992,2981,388
3.304677399999999,2982,388
3.3065648000000003,2983,385
3.3075820999999994,2984,386
3.3086026000000004,2985,388
3.309623199999999,2986,386
3.3106285999999994,2987,388
3.31165,2988,388
3.312690699999999,2989,387
3.3145597,2990,389
3.3155538999999994,2991,389
3.3166496999999993,2992,389
3.3176179,2993,388
3.3186450999999995,2994,388
3.3196598999999996,2995,388
3.320675699999999,2996,386
3.322565299999999,2997,388
3.3235753999999993,2998,387
3.3245933,2999,385
3.3256145000000004,3000,388
3.326643599999999,3001,386
3.3276579999999996,3002,386
3.3286759999999997,3003,389
3.3305930999999998,3004,388
3.3315579,3005,386
3.3325967999999992,3006,388
3.3336170999999997,3007,388
3.3346438000000003,3008,388
3.3356575999999993,3009,387
3.3366773999999992,3010,388
3.3385657,3011,388
3.339589,3012,386
3.3405936999999994,3013,389
3.3416148000000003,3014,387
3.3426972,3015,389
3.343708399999999,3016,387
3.344678,3017,386
3.3465518999999997,3018,389
3.3475586999999987,3019,387
3.3486104,3020,389
3.3496232,3021,389
3.350639899999999,3022,389
3.3516500999999987,3023,388
3.3526923999999987,3024,389
3.3545496000000004,3025,388
3.3555797999999992,3026,388
3.356660999999999,3027,388
3.357631399999999,3028,388
3.3586513999999994,3029,389
3.3596591999999994,3030,388
3.360676699999999,3031,388
3.3625539999999994,3032,387
3.3635599999999997,3033,388
3.3646095999999996,3034,388
3.3656232,3035,389
3.366640499999999,3036,388
3.3676522,3037,388
3.3686916,3038,387
3.3705645000000004,3039,388
3.3715826999999994,3040,388
3.3726085999999995,3041,388
3.3736268999999997,3042,386
3.3746402999999994,3043,388
3.3756503999999996,3044,388
3.3766885,3045,386
3.3785627,3046,388
3.3795716000000002,3047,387
3.380594499999999,3048,388
3.3816141,3049,386
3.3826789,3050,388
3.3837089999999996,3051,388
3.384680399999999,3052,388
3.386564699999999,3053,388
3.3875887999999996,3054,387
3.3886056,3055,386
3.389614999999999,3056,388
3.3906545,3057,388
3.3916579999999996,3058,387
3.3926745,3059,388
3.3945556999999997,3060,387
3.395558099999999,3061,387
3.3967289999999988,3062,388
3.3976387,3063,388
3.3986590999999997,3064,388
3.3996706999999997,3065,387
3.4006761,3066,388
3.4026441999999992,3067,386
3.4035893,3068,388
3.4046056999999994,3069,386
3.405616499999999,3070,388
3.4066558999999987,3071,387
3.4076699999999995,3072,387
3.408676999999999,3073,388
3.4105711999999997,3074,386
3.4115684,3075,388
3.412605899999999,3076,386
